Agartala,"['33°', '32°', '32°', '32°', '32°', '32°', '32°', '30°', '30°', '28°', '28°', '33°', '32°']"
Agra,"['33°', '33°', '33°', '31°', '31°', '29°', '29°', '28°', '28°', '28°', '28°', '33°', '33°']"
Ahmadabad,"['39°', '35°', '35°', '36°', '36°', '35°', '35°', '35°', '35°', '34°', '34°', '39°', '35°']"
Aizawl,"['25°', '25°', '25°', '25°', '25°', '26°', '26°', '24°', '24°', '22°', '22°', '25°', '25°']"
Akola,"['35°', '36°', '36°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '35°', '36°']"
Allahabad,"['33°', '34°', '34°', '32°', '32°', '30°', '30°', '30°', '30°', '28°', '28°', '33°', '34°']"
Ambala,"['30°', '30°', '30°', '30°', '30°', '27°', '27°', '25°', '25°', '26°', '26°', '30°', '30°']"
Aminidivi,"['34°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '34°', '33°']"
Amravati,"['34°', '35°', '35°', '31°', '31°', '31°', '31°', '30°', '30°', '30°', '30°', '34°', '35°']"
Amritsar,"['31°', '31°', '31°', '30°', '30°', '27°', '27°', '25°', '25°', '25°', '25°', '31°', '31°']"
Aurangabad,"['33°', '33°', '33°', '31°', '31°', '30°', '30°', '30°', '30°', '30°', '30°', '33°', '33°']"
Baleshwar,"['34°', '32°', '32°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '34°', '32°']"
Bangalore,"['33°', '33°', '33°', '31°', '31°', '30°', '30°', '32°', '32°', '31°', '31°', '33°', '33°']"
Bankura,"['36°', '35°', '35°', '36°', '36°', '33°', '33°', '31°', '31°', '29°', '29°', '36°', '35°']"
Barmer,"['35°', '34°', '34°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '35°', '34°']"
Barreilly,"['32°', '32°', '32°', '31°', '31°', '27°', '27°', '26°', '26°', '26°', '26°', '32°', '32°']"
Bedi,"['37°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '32°', '32°', '37°', '33°']"
Belekeri,"['33°', '31°', '31°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '33°', '31°']"
Beypore,"['34°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '34°', '33°']"
Bhavnagar,"['37°', '35°', '35°', '35°', '35°', '35°', '35°', '34°', '34°', '34°', '34°', '37°', '35°']"
Bhopal,"['32°', '32°', '32°', '29°', '29°', '29°', '29°', '28°', '28°', '28°', '28°', '32°', '32°']"
Bhubaneshwar,"['35°', '35°', '35°', '34°', '34°', '33°', '33°', '28°', '28°', '27°', '27°', '35°', '35°']"
Bhuj,"['36°', '33°', '33°', '34°', '34°', '34°', '34°', '33°', '33°', '33°', '33°', '36°', '33°']"
Bhuj-Rudramata,"['39°', '36°', '36°', '37°', '37°', '37°', '37°', '36°', '36°', '36°', '36°', '39°', '36°']"
Bikaner,"['34°', '34°', '34°', '32°', '32°', '31°', '31°', '31°', '31°', '30°', '30°', '34°', '34°']"
Bolangir,"['36°', '36°', '36°', '34°', '34°', '30°', '30°', '30°', '30°', '29°', '29°', '36°', '36°']"
Bongba,"['26°', '24°', '24°', '25°', '25°', '25°', '25°', '22°', '22°', '22°', '22°', '26°', '24°']"
Calicut,"['34°', '34°', '34°', '33°', '33°', '34°', '34°', '33°', '33°', '33°', '33°', '34°', '34°']"
Cannanore,"['34°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '32°', '31°', '31°', '34°', '32°']"
Car,"['29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '30°', '30°', '29°', '29°']"
Chandrapur,"['36°', '36°', '36°', '32°', '32°', '30°', '30°', '30°', '30°', '30°', '30°', '36°', '36°']"
Chennai,"['34°', '34°', '34°', '34°', '34°', '33°', '33°', '33°', '33°', '34°', '34°', '34°', '34°']"
Chitradurga,"['33°', '33°', '33°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '31°', '33°', '33°']"
Cochin,"['35°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '35°', '33°']"
Coondapur,"['34°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '34°', '33°']"
Cuddalore,"['31°', '31°', '31°', '31°', '31°', '31°', '31°', '30°', '30°', '31°', '31°', '31°', '31°']"
Cuttack,"['35°', '35°', '35°', '34°', '34°', '32°', '32°', '29°', '29°', '27°', '27°', '35°', '35°']"
Dahej,"['36°', '35°', '35°', '34°', '34°', '32°', '32°', '32°', '32°', '32°', '32°', '36°', '35°']"
Daltonganj,"['37°', '36°', '36°', '36°', '36°', '32°', '32°', '32°', '32°', '30°', '30°', '37°', '36°']"
Darjiling,"['14°', '13°', '13°', '14°', '14°', '12°', '12°', '12°', '12°', '13°', '13°', '14°', '13°']"
Dehra,"['26°', '27°', '27°', '27°', '27°', '24°', '24°', '23°', '23°', '24°', '24°', '26°', '27°']"
Dhaka,"['33°', '33°', '33°', '33°', '33°', '29°', '29°', '28°', '28°', '27°', '27°', '33°', '33°']"
Dhanbad,"['33°', '34°', '34°', '34°', '34°', '30°', '30°', '28°', '28°', '26°', '26°', '33°', '34°']"
Dibrugarh,"['32°', '25°', '25°', '24°', '24°', '27°', '27°', '26°', '26°', '26°', '26°', '32°', '25°']"
Faridabad,"['32°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '28°', '28°', '32°', '32°']"
Gadag,"['35°', '34°', '34°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '32°', '35°', '34°']"
Gaya,"['34°', '34°', '34°', '35°', '35°', '31°', '31°', '30°', '30°', '28°', '28°', '34°', '34°']"
Goa,"['33°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '33°', '32°']"
Goa/Panjim,"['34°', '33°', '33°', '34°', '34°', '33°', '33°', '33°', '33°', '33°', '33°', '34°', '33°']"
Gorakhpur,"['33°', '33°', '33°', '32°', '32°', '29°', '29°', '28°', '28°', '27°', '27°', '33°', '33°']"
Greater,"['31°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '28°', '28°', '31°', '32°']"
Guna,"['33°', '33°', '33°', '29°', '29°', '30°', '30°', '29°', '29°', '28°', '28°', '33°', '33°']"
Gurgaon,"['32°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '28°', '28°', '32°', '32°']"
Guwahati,"['32°', '29°', '29°', '27°', '27°', '27°', '27°', '26°', '26°', '25°', '25°', '32°', '29°']"
Gwalior,"['33°', '34°', '34°', '31°', '31°', '29°', '29°', '29°', '29°', '29°', '29°', '33°', '34°']"
Haldia,"['33°', '32°', '32°', '31°', '31°', '31°', '31°', '29°', '29°', '27°', '27°', '33°', '32°']"
Hissar,"['33°', '33°', '33°', '32°', '32°', '30°', '30°', '28°', '28°', '29°', '29°', '33°', '33°']"
Honavar,"['33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '30°', '30°', '33°', '32°']"
Hyderabad,"['34°', '35°', '35°', '33°', '33°', '30°', '30°', '30°', '30°', '31°', '31°', '34°', '35°']"
Idinthakarai,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '33°']"
Imphal,"['31°', '28°', '28°', '29°', '29°', '30°', '30°', '28°', '28°', '26°', '26°', '31°', '28°']"
Indore,"['32°', '33°', '33°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '32°', '33°']"
Jabalpur,"['34°', '33°', '33°', '29°', '29°', '29°', '29°', '29°', '29°', '28°', '28°', '34°', '33°']"
Jagdalpur,"['32°', '33°', '33°', '30°', '30°', '27°', '27°', '27°', '27°', '27°', '27°', '32°', '33°']"
Jaipur,"['32°', '33°', '33°', '30°', '30°', '29°', '29°', '29°', '29°', '28°', '28°', '32°', '33°']"
Jaisalmer,"['37°', '37°', '37°', '34°', '34°', '34°', '34°', '34°', '34°', '32°', '32°', '37°', '37°']"
Jakhau,"['36°', '32°', '32°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '36°', '32°']"
Jalgaon,"['36°', '36°', '36°', '34°', '34°', '33°', '33°', '33°', '33°', '32°', '32°', '36°', '36°']"
Jammu,"['30°', '30°', '30°', '29°', '29°', '26°', '26°', '25°', '25°', '24°', '24°', '30°', '30°']"
Jamnagar,"['37°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '32°', '32°', '37°', '33°']"
Jamshedpur,"['36°', '35°', '35°', '35°', '35°', '31°', '31°', '29°', '29°', '27°', '27°', '36°', '35°']"
Jodhpur,"['35°', '35°', '35°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '35°', '35°']"
Kakinada,"['33°', '32°', '32°', '32°', '32°', '29°', '29°', '27°', '27°', '28°', '28°', '33°', '32°']"
Kandla,"['35°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '35°', '31°']"
Kanpur,"['33°', '33°', '33°', '31°', '31°', '29°', '29°', '28°', '28°', '28°', '28°', '33°', '33°']"
Karaikal,"['31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '32°']"
Karwar,"['33°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '33°', '32°']"
Keshod,"['37°', '34°', '34°', '35°', '35°', '34°', '34°', '33°', '33°', '33°', '33°', '37°', '34°']"
Khandwa,"['35°', '35°', '35°', '32°', '32°', '32°', '32°', '30°', '30°', '31°', '31°', '35°', '35°']"
Kolkata,"['35°', '34°', '34°', '33°', '33°', '32°', '32°', '30°', '30°', '28°', '28°', '35°', '34°']"
Kota,"['34°', '34°', '34°', '31°', '31°', '31°', '31°', '31°', '31°', '30°', '30°', '34°', '34°']"
Kudankulam,"['33°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '33°', '33°', '33°', '33°']"
Kundapura,"['35°', '35°', '35°', '34°', '34°', '34°', '34°', '34°', '34°', '34°', '34°', '35°', '35°']"
Kurnool,"['37°', '36°', '36°', '35°', '35°', '33°', '33°', '33°', '33°', '33°', '33°', '37°', '36°']"
Lucknow,"['34°', '34°', '34°', '32°', '32°', '28°', '28°', '28°', '28°', '28°', '28°', '34°', '34°']"
Lucknow/Amausi,"['34°', '34°', '34°', '32°', '32°', '29°', '29°', '29°', '29°', '28°', '28°', '34°', '34°']"
Ludhiana,"['31°', '31°', '31°', '30°', '30°', '28°', '28°', '25°', '25°', '26°', '26°', '31°', '31°']"
Machilipatnam,"['31°', '31°', '31°', '31°', '31°', '28°', '28°', '29°', '29°', '28°', '28°', '31°', '31°']"
Madurai,"['36°', '36°', '36°', '36°', '36°', '35°', '35°', '35°', '35°', '36°', '36°', '36°', '36°']"
Malpe,"['33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '33°', '32°']"
Manapad,"['31°', '32°', '32°', '31°', '31°', '32°', '32°', '32°', '32°', '33°', '33°', '31°', '32°']"
Mandvi,"['34°', '32°', '32°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '34°', '32°']"
Mangalore,"['33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '33°', '33°']"
Mangalore/Panambur,"['36°', '36°', '36°', '35°', '35°', '35°', '35°', '35°', '35°', '35°', '35°', '36°', '36°']"
Meerut,"['32°', '33°', '33°', '32°', '32°', '28°', '28°', '27°', '27°', '28°', '28°', '32°', '33°']"
Minicoy,"['30°', '30°', '30°', '30°', '30°', '31°', '31°', '30°', '30°', '30°', '30°', '30°', '30°']"
Mormugao,"['32°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '31°']"
Mumbai,"['37°', '36°', '36°', '34°', '34°', '33°', '33°', '33°', '33°', '32°', '32°', '37°', '36°']"
Mundra,"['36°', '32°', '32°', '31°', '31°', '31°', '31°', '30°', '30°', '30°', '30°', '36°', '32°']"
Mysore,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '32°', '32°', '33°']"
Nagapattinam,"['31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '31°']"
Nagpur,"['35°', '34°', '34°', '31°', '31°', '30°', '30°', '29°', '29°', '29°', '29°', '35°', '34°']"
Nasik,"['34°', '33°', '33°', '31°', '31°', '30°', '30°', '30°', '30°', '30°', '30°', '34°', '33°']"
Nazira,"['30°', '25°', '25°', '22°', '22°', '25°', '25°', '24°', '24°', '24°', '24°', '30°', '25°']"
Nellore,"['34°', '35°', '35°', '34°', '34°', '33°', '33°', '34°', '34°', '34°', '34°', '34°', '35°']"
New,"['34°', '33°', '33°', '32°', '32°', '29°', '29°', '28°', '28°', '29°', '29°', '34°', '33°']"
Okha,"['30°', '30°', '30°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '30°', '30°']"
Ongole,"['33°', '32°', '32°', '33°', '33°', '31°', '31°', '31°', '31°', '32°', '32°', '33°', '32°']"
Paradip,"['31°', '30°', '30°', '30°', '30°', '30°', '30°', '27°', '27°', '27°', '27°', '31°', '30°']"
Parbhani,"['35°', '35°', '35°', '32°', '32°', '31°', '31°', '30°', '30°', '31°', '31°', '35°', '35°']"
Patiala,"['31°', '31°', '31°', '31°', '31°', '28°', '28°', '26°', '26°', '27°', '27°', '31°', '31°']"
Patna,"['34°', '35°', '35°', '34°', '34°', '30°', '30°', '30°', '30°', '28°', '28°', '34°', '35°']"
Pbo,"['37°', '36°', '36°', '32°', '32°', '30°', '30°', '30°', '30°', '30°', '30°', '37°', '36°']"
Pendra,"['35°', '34°', '34°', '31°', '31°', '29°', '29°', '28°', '28°', '27°', '27°', '35°', '34°']"
Periyathalai,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '33°']"
Pondicherry,"['31°', '31°', '31°', '31°', '31°', '31°', '31°', '30°', '30°', '31°', '31°', '31°', '31°']"
Porbandar,"['35°', '33°', '33°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '35°', '33°']"
Port,"['30°', '30°', '30°', '30°', '30°', '30°', '30°', '31°', '31°', '31°', '31°', '30°', '30°']"
Pune,"['35°', '34°', '34°', '33°', '33°', '31°', '31°', '31°', '31°', '30°', '30°', '35°', '34°']"
Puri,"['32°', '32°', '32°', '31°', '31°', '31°', '31°', '28°', '28°', '27°', '27°', '32°', '32°']"
Raichur,"['35°', '35°', '35°', '33°', '33°', '32°', '32°', '32°', '32°', '33°', '33°', '35°', '35°']"
Rajkot,"['37°', '32°', '32°', '35°', '35°', '34°', '34°', '33°', '33°', '33°', '33°', '37°', '32°']"
Ranchi,"['31°', '31°', '31°', '31°', '31°', '27°', '27°', '26°', '26°', '24°', '24°', '31°', '31°']"
Ratlam,"['34°', '34°', '34°', '31°', '31°', '31°', '31°', '30°', '30°', '30°', '30°', '34°', '34°']"
Ratnagiri,"['34°', '33°', '33°', '33°', '33°', '32°', '32°', '32°', '32°', '31°', '31°', '34°', '33°']"
Redi,"['34°', '34°', '34°', '33°', '33°', '31°', '31°', '30°', '30°', '30°', '30°', '34°', '34°']"
Rewa,"['33°', '33°', '33°', '30°', '30°', '30°', '30°', '30°', '30°', '28°', '28°', '33°', '33°']"
Salaya,"['34°', '33°', '33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '34°', '33°']"
Salem,"['36°', '35°', '35°', '34°', '34°', '34°', '34°', '34°', '34°', '35°', '35°', '36°', '35°']"
Sambalpur,"['36°', '35°', '35°', '34°', '34°', '29°', '29°', '29°', '29°', '28°', '28°', '36°', '35°']"
Sandheads,"['29°', '28°', '28°', '28°', '28°', '28°', '28°', '26°', '26°', '26°', '26°', '29°', '28°']"
Satna,"['33°', '33°', '33°', '30°', '30°', '29°', '29°', '29°', '29°', '28°', '28°', '33°', '33°']"
Shiliguri,"['31°', '30°', '30°', '29°', '29°', '27°', '27°', '26°', '26°', '25°', '25°', '31°', '30°']"
Shillong,"['21°', '18°', '18°', '18°', '18°', '18°', '18°', '16°', '16°', '16°', '16°', '21°', '18°']"
Sholapur,"['37°', '37°', '37°', '34°', '34°', '33°', '33°', '33°', '33°', '33°', '33°', '37°', '37°']"
Sika,"['36°', '32°', '32°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '36°', '32°']"
Silchar,"['33°', '30°', '30°', '31°', '31°', '31°', '31°', '28°', '28°', '27°', '27°', '33°', '30°']"
Siliguri,"['31°', '30°', '30°', '29°', '29°', '27°', '27°', '26°', '26°', '25°', '25°', '31°', '30°']"
Srinagar,"['22°', '21°', '21°', '19°', '19°', '18°', '18°', '18°', '18°', '18°', '18°', '22°', '21°']"
Surat,"['38°', '34°', '34°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '38°', '34°']"
Suthari,"['35°', '32°', '32°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '35°', '32°']"
Tellicherry,"['34°', '32°', '32°', '32°', '32°', '33°', '33°', '33°', '33°', '32°', '32°', '34°', '32°']"
Tezpur,"['32°', '28°', '28°', '25°', '25°', '27°', '27°', '25°', '25°', '25°', '25°', '32°', '28°']"
Thiruvananthapuram,"['34°', '34°', '34°', '34°', '34°', '34°', '34°', '33°', '33°', '33°', '33°', '34°', '34°']"
Tiruchendur,"['30°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '30°', '31°']"
Tonk,"['33°', '33°', '33°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '33°', '33°']"
Trivandrum,"['34°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '34°', '32°']"
Tuticorin,"['31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '32°']"
Udaipur,"['32°', '31°', '31°', '29°', '29°', '29°', '29°', '29°', '29°', '28°', '28°', '32°', '31°']"
Uvari,"['31°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '31°', '32°']"
Vadodara,"['35°', '34°', '34°', '33°', '33°', '32°', '32°', '31°', '31°', '31°', '31°', '35°', '34°']"
Varanasi,"['34°', '35°', '35°', '34°', '34°', '31°', '31°', '30°', '30°', '28°', '28°', '34°', '35°']"
Vellore,"['34°', '34°', '34°', '33°', '33°', '32°', '32°', '33°', '33°', '34°', '34°', '34°', '34°']"
Vengurla,"['33°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '33°', '31°']"
Veraval,"['36°', '34°', '34°', '33°', '33°', '31°', '31°', '31°', '31°', '31°', '31°', '36°', '34°']"
Vijayawada,"['37°', '36°', '36°', '35°', '35°', '30°', '30°', '30°', '30°', '30°', '30°', '37°', '36°']"
Vishakhapatnam,"['32°', '32°', '32°', '32°', '32°', '29°', '29°', '27°', '27°', '27°', '27°', '32°', '32°']"
